Loc_Nm,Site,PCT_TCC_CameraBuffer100,Connect500_ParkBuffer1000,Connect300_ParkBuffer1000,Connect300v1_ParkBuffer1000,PARK_AREA_m,PCT_TCC_PARK,PCT_TCC_PARK_BUFFER1000,PCT_TCC_PARK_BUFFER500,PCT_TCC_PARK_BUFFER100,HU_Density_Km_Park1000,HU_Density_Km_Park500,HU_Density_Km_Park100,Prop_Water_ParkBuffer1000,Prop_Water_ParkBuffer500,Prop_Water_ParkBuffer100,Prop_BarrenLand_ParkBuffer1000,Prop_BarrenLand_ParkBuffer500,Prop_BarrenLand_ParkBuffer100,Road_Density_km_ParkBuffer100,Road_Density_km_ParkBuffer500,Road_Density_km_ParkBuffer1000,PCT_Impervious_Park1000,PCT_Impervious_Park500,PCT_Impervious_Park100,PCT_Human_CameraDays,Human_Visitation_SG
Alley Pond Park,ApNo,66.25714286,18.8939568,14.12018272,12.80399833,2685894.716,59.48609715,27.89178781,32.66279505,46.1075784,1756.779112,1558.307353,761.8745454,0.041874593,0.072030723,0.160496516,0,0,0,11695.96398,14702.43489,62829.81788,51.19358863,46.42066317,31.11977352,3.496503497,4183.333333
Alley Pond Park,ApSo,82.91666667,18.8939568,14.12018272,12.80399833,2685894.716,59.48609715,27.89178781,32.66279505,46.1075784,1756.779112,1558.307353,761.8745454,0.041874593,0.072030723,0.160496516,0,0,0,11695.96398,14702.43489,62829.81788,51.19358863,46.42066317,31.11977352,1.538461538,4183.333333
Brower Park,BrPk,15.61111111,8.29254475,5.604559233,5.849317803,40490.87511,15.75555556,1.982867448,2.816581071,5.585798817,10292.26057,11278.74386,9303.101202,0,0,0,0,0,0,11773.34922,17512.15312,454194.4177,85.39021641,83.70212766,76.9408284,47.86324786,851.3333333
Clark Botanic Garden Park,CbGd,52.55555556,41.2760954,21.48906219,19.71075865,54887.63071,60.37704918,33.16517954,34.4122085,40.76884422,726.7885296,704.0338429,557.9083959,0,0,0,0,0,0,10462.26646,13669.62998,309989.8339,42.4570185,43.521262,39.48241206,41.49659864,244.5
Cunningham Park,ChNo,75.61764706,15.3074791,11.52772978,10.4823385,1669123.852,62.99514825,18.56891799,24.02855943,40.82039163,2476.702564,2335.960289,2075.561697,0.000455789,0.000875785,0.002062564,0,0,0,56236.61864,27006.702,325318.8637,53.69097539,45.70456868,28.29872809,9.836065574,1832
Cunningham Park,ChSo,88.05555556,15.3074791,11.52772978,10.4823385,1669123.852,62.99514825,18.56891799,24.02855943,40.82039163,2476.702564,2335.960289,2075.561697,0.000455789,0.000875785,0.002062564,0,0,0,56236.61864,27006.702,325318.8637,53.69097539,45.70456868,28.29872809,4.195804196,1832
Morley County Park,CmPk,85.8,57.909263,37.56664042,37.97178896,395010.9816,51.80865604,43.4672086,47.42347449,50.26491647,519.5049033,413.5147247,276.4441913,0,0,0,0,0,0,10597.76081,14554.66352,131349.4726,36.53678699,31.48749583,25.96062053,16.80672269,1216
Clove Lakes Park,CoLs,82.02857143,9.65883669,10.46494815,9.584126576,800819.53,61.09775281,25.67778566,28.7417378,45.08994709,1637.990582,1417.258117,839.1093753,0.008922235,0.015101773,0.045634921,0.002027781,0.000218866,0,7240.126456,13223.11187,94446.89676,51.0341681,46.90763843,27.1005291,6.349206349,NA
Captain Tilly Park,CtPk,42.13888889,8.64064291,3.655530101,4.193029905,37791.48344,54.66666667,7.597262733,7.536780772,22.75581395,4915.966627,5174.526779,3863.210517,0,0,0,0,0,0,14104.49754,18741.45615,456688.3058,77.30356742,76.11289148,53.13372093,46.82926829,4587.333333
Deep Dale Golf Club,DdGc ,65.54285714,51.8477107,38.46646439,38.61491579,704541.2269,40.8045977,42.73177373,43.3511855,42.998362,233.3189819,230.7445283,229.2511835,0.01398688,0.00111576,0.001638002,0.000123778,0.00027894,0,8380.909306,8062.930365,53137.455,24.09827949,23.52357043,15.10728911,33.57142857,110.6666667
Deere Park,DePk,83.74285714,32.7868109,30.22841629,29.71431222,269939.1674,85.47,37.8810803,40.21202186,60.32066869,1077.143847,819.6254467,468.8101702,0.005808044,0.001092896,0,0.000580804,0.001092896,0,7757.07057,14117.84269,153124.654,41.51648033,39.75591985,20.91793313,2.564102564,NA
Deere Park,DePk II,83.74285714,32.7868109,30.22841629,29.71431222,269939.1674,85.47,37.8810803,40.21202186,60.32066869,1077.143847,819.6254467,468.8101702,0.005808044,0.001092896,0,0.000580804,0.001092896,0,7757.07057,14117.84269,153124.654,41.51648033,39.75591985,20.91793313,24.19354839,NA
The Evergreens Cemetery,EvCt 1,59.6,13.8836405,7.259313532,6.514613012,1141842.678,27.12687155,11.81695688,18.03338392,23.20693451,4596.548344,2949.295496,916.2378249,0.010260131,0.016691958,0,0.000725464,0.001517451,0,8849.755748,13293.84482,82197.6285,68.30738937,57.25059614,39.42762796,25,76.66666667
The Evergreens Cemetery,EvCt 2,22.5,13.8836405,7.259313532,6.514613012,1141842.678,27.12687155,11.81695688,18.03338392,23.20693451,4596.548344,2949.295496,916.2378249,0.010260131,0.016691958,0,0.000725464,0.001517451,0,8849.755748,13293.84482,82197.6285,68.30738937,57.25059614,39.42762796,49.72375691,76.66666667
FOX HOLLOW PRESERVE,FhPs,89.51428571,371.11886,228.5088568,263.2529117,107075.8697,89.37815126,68.23542117,71.40401146,80.73954984,86.70940474,80.25480313,83.43225828,0.002159827,0,0,0,0,0,4547.389962,5971.61171,95058.35815,6.24268604,6.318051576,3.421221865,14.28571429,34
Francke Bird Sanctuary,FkBs,81.8,248.869777,157.0762731,157.7031798,14396.75559,85.125,62.21175304,64.8210252,71.44660194,53.64886909,54.09378891,55.50552784,0.000495909,0,0,0,0,0,5996.046809,5247.991733,161249.2421,7.604264815,7.48305821,2.708737864,5.839416058,NA
Flushing Meadows Corona Park,FmPk,51.54285714,6.54094949,3.695236961,4.010678902,3436325.601,13.58444619,26.9260863,34.91942782,51.77861808,5136.905812,3323.77536,486.5825947,0.03929831,0.065821354,0.134529915,0.000366418,0.000565337,0.001196581,21417.44668,24431.161,89942.51372,70.6502542,65.87756421,54.95538462,46.84684685,36540
Forest Park,FpGc,27,16.8866449,8.658692927,8.121475807,2063235.036,70.62014828,8.788851738,10.12138588,12.54410256,3701.671339,3015.914508,1241.514375,0.001485583,0,0,6.75265E-05,0.000127845,0.000297265,12692.32589,14887.40531,70936.30179,59.97643325,50.24303247,25.49108205,89.07103825,245
Forest Park,FrEa,79.44117647,16.8866449,8.658692927,8.121475807,2063235.036,70.62014828,8.788851738,10.12138588,12.54410256,3701.671339,3015.914508,1241.514375,0.001485583,0,0,6.75265E-05,0.000127845,0.000297265,12692.32589,14887.40531,70936.30179,59.97643325,50.24303247,25.49108205,9.219858156,1338.666667
Forest Park,FrWe,91.47058824,16.8866449,8.658692927,8.121475807,2063235.036,70.62014828,8.788851738,10.12138588,12.54410256,3701.671339,3015.914508,1241.514375,0.001485583,0,0,6.75265E-05,0.000127845,0.000297265,12692.32589,14887.40531,70936.30179,59.97643325,50.24303247,25.49108205,12.78195489,1338.666667
Glen Oaks Club,GoCb,44.74285714,135.068564,88.28033096,90.40203404,1047363.97,25.45360825,50.7593628,45.46318131,33.01054482,56.43245778,43.18741336,47.65925168,0.003059394,0.004004449,0.010544815,0,0,0,1919.573351,3801.575829,31787.22401,12.85388754,11.77842047,10.09021675,7.692307692,1074
The Green-Wood Cemetery,GrWd,54.68571429,6.76844923,4.048521114,4.56615214,1894073.158,32.0631829,9.147625723,12.60561967,25.20436364,5510.442464,4461.602546,1211.749364,0.003329245,0,0,0.003942527,0,0,4607.004547,13522.0064,62540.80518,75.08366918,67.44873725,40.90181818,47.59615385,NA
The Green-Wood Cemetery,GrWd II,23.64864865,6.76844923,4.048521114,4.56615214,1894073.158,32.0631829,9.147625723,12.60561967,25.20436364,5510.442464,4461.602546,1211.749364,0.003329245,0,0,0.003942527,0,0,4607.004547,13522.0064,62540.80518,75.08366918,67.44873725,40.90181818,23.39181287,NA
Highland Park,HlPk,73.47222222,33.0606742,20.15873926,20.61023464,418405.7095,60.89677419,31.42434857,39.03718066,52.26197458,2407.718213,1409.104042,441.0906865,0.008799658,0.022582117,0.096774194,0.000598035,0.001596715,0.00684262,18432.92452,16973.57776,157939.2421,41.67757369,32.77531934,21.83479961,10,1351
Herricks Pond Park,HpPk,38.11111111,23.0408176,11.52709906,13.33455664,21595.13339,27.5,22.39447292,23.08020231,30.14193548,1023.257582,895.5894998,750.8810219,0.001560062,0.000722543,0,0,0,0,10386.39271,12785.3792,450476.4593,57.72921774,53.06213873,43.63225806,35.45454545,154.6666667
High Rock Park,HrPk,89.88888889,80.6601397,64.57705618,69.56641389,435501.8567,86.80165289,53.18628454,62.60225922,77.08254963,615.4751719,354.4615332,299.3296459,0.024564995,0.03745541,0.043887147,0,0,0,4728.804308,5500.79073,64127.34666,22.2631781,13.66111772,5.259143156,8.585858586,NA
John D. Caemmerer Park,JcPk,10.17647059,26.5649737,13.28656503,14.40215596,56687.22515,34.68253968,23.52489065,20.12884615,21.54424779,1125.630941,1414.184018,1347.792289,0.00041658,0,0,0,0,0,14328.01539,16183.35939,329343.8302,56.36804832,62.59935897,58.12831858,29.10447761,245
Lincoln Terrace / Arthur S. Somers Park,LtPk,44.55555556,9.4668303,7.892231299,8.98327268,71083.98075,37.20253165,2.391973383,3.14709596,17.84583333,9670.504067,11684.59247,13518.32646,0,0,0,0,0,0,34565.17554,18497.95529,685218.7461,86.4183822,87.62310606,65.425,62.93103448,810.6666667
Meadowbrook Club,MbCb,44.16666667,88.1525658,50.73881823,54.14664501,959183.8415,21.04221388,40.16103896,40.03656388,30.5473427,195.9997131,196.5527768,238.9025539,0.000831169,0.00154185,0,0,0,0,3336.650187,7942.092525,53836.68919,27.58358442,23.20881057,13.17348809,21.15384615,40.66666667
Mafera Park,MfPk,2.125,6.24303454,2.868573965,3.391168789,28793.51119,10.28125,4.828025478,5.57260479,10.69078947,5359.829285,4930.865453,2182.377946,0,0,0,0,0,0,5645.249128,12828.82102,377464.193,76.14080983,76.98952096,68.26315789,97.61904762,669.3333333
Maple Grove Cemetery,MgCt,25.44444444,12.4204328,5.838893426,5.842788566,273538.3563,25.65131579,10.05742862,9.271051529,16.72289157,5771.177195,7328.293658,7739.464362,0.001290531,0,0,0,0,0,64388.37367,29832.3431,667286.7648,71.81497016,70.8797654,49.46815835,3.076923077,120.3333333
Michael J. Tully Park,MtPk,29.54285714,12.6714026,6.386890865,8.342073516,136769.1782,7.927631579,17.26476154,19.47693977,13.02873563,1048.397748,940.4311597,573.1095904,0.013058289,0.037438958,0.097701149,0,0,0,7405.898593,13330.21416,264362.3529,61.88758516,53.42485079,46.06896552,71.15384615,1396.666667
Muttontown County Preserve,MtPs,85.11428571,271.086223,167.2332869,174.378717,2111824.086,77.90924585,60.30287977,65.61160546,73.46405413,117.8812925,96.94420341,60.26632726,0.002148084,0.004010528,0.009021708,0.000134255,0.000250658,0.000281928,4800.371773,6244.757961,25790.59734,10.05866953,8.352801103,4.233154779,5.755395683,348.6666667
North Hills Country Club,NhCc,53.15625,60.7059967,41.12712412,40.81658705,600164.7489,38.55622189,48.9145748,52.87766588,46.12954334,347.7396385,307.5676687,246.7611964,0.000512295,0.000296209,0,0,0,0,8627.385105,10738.08164,74752.79957,27.35924693,24.66735782,15.59645853,2.352941176,757
Old Westbury Golf and  Country Club,OwGc,56.71428571,136.339307,101.3245017,114.6050654,768426.8299,34.26580796,54.42943404,54.37842047,46.19465387,100.1601682,91.04823343,79.85550178,0.00501484,0.000444939,0,0,0,0,2853.132704,5177.939615,38059.90705,13.359738,12.60044494,10.15764222,39.37007874,772
Old Westbury Gardens,OwGd,82.55555556,91.1718832,57.25715717,56.2585682,896198.0358,54.52610442,43.60727309,47.16145181,53.44648318,171.7227114,101.7901301,66.63202532,0.001872475,0.001668753,0.004892966,0,0,0,6055.698521,8162.050671,54200.69711,20.63388194,16.81602003,9.294189602,16.83168317,99.66666667
Prospect Park,PrPk,76.2,11.1571776,9.010979449,8.657407468,1974155.111,49.51959891,20.63393882,30.66568653,55.86831153,8440.477052,7163.054643,2326.814759,0.01268091,0.025059499,0.057731263,0.003721571,0.007419852,0.017893315,9606.314376,16590.38089,77018.52897,63.55796003,55.15805684,26.8298447,50.83333333,13459.66667
Prospect Park,PrPk II,76.26470588,11.1571776,9.010979449,8.657407468,1974155.111,49.51959891,20.63393882,30.66568653,55.86831153,8440.477052,7163.054643,2326.814759,0.01268091,0.025059499,0.057731263,0.003721571,0.007419852,0.017893315,9606.314376,16590.38089,77018.52897,63.55796003,55.15805684,26.8298447,22.6993865,13459.66667
Queens County Farm Park,QcFm,64.77142857,18.0925625,12.62789347,12.84691042,210552.5506,34.52991453,18.45145798,19.237061,27.04115226,1842.694336,2027.629855,1585.662459,0,0,0,0,0,0,4676.412051,12775.89508,159056.7839,56.04202401,58.20009242,38.89300412,3.603603604,786.6666667
SUNY Old Westbury,SnOw,87.25714286,116.611888,72.65924581,74.95425034,421105.1011,85.76923077,46.85583456,55.9193314,76.15889029,84.3901451,54.58444879,8.357979469,0.002067947,0.005087209,0,0,0,0,5105.931055,4154.58137,33566.13306,13.40827179,13.13735465,9.447667087,4.761904762,2425
Stillwell Woods County Park,SwPk 1,90.2,225.6441,125.674676,120.6203692,1317303.137,66.04439891,58.99054661,59.72505712,66.13801337,163.3122789,124.8438824,95.00172536,0.007862224,0,0,0,0,0,1735.294024,4430.519601,27041.18758,14.25093598,13.44592536,4.915472779,17.91044776,1257.333333
Stillwell Woods County Park,SwPk 2,28.85714286,225.6441,125.674676,120.6203692,1317303.137,66.04439891,58.99054661,59.72505712,66.13801337,163.3122789,124.8438824,95.00172536,0.007862224,0,0,0,0,0,1735.294024,4430.519601,27041.18758,14.25093598,13.44592536,4.915472779,37.98449612,1257.333333
Todt Hill,ToHl,54.85714286,60.199132,49.91850417,52.90815265,431002.8706,86.75991649,47.94327605,52.19668911,69.89208633,685.9823562,466.3036188,291.3309289,0.015863478,0.024410774,0.014388489,0.000240356,0,0,3001.488777,5926.600971,72228.78768,27.00048071,18.83754209,7.271325797,0.46728972,NA
Trail View State Park,TvPk,62.63636364,164.693525,101.8734423,110.776477,1959758.355,80.28282828,47.96824816,50.77916201,63.51090404,315.4284438,325.2283574,319.672374,0.00938538,0.016219075,0.021213323,0.00015236,0,0,6084.688541,7509.272911,50557.65727,27.38364262,25.79250162,16.68378271,49.66887417,1427.666667
Westbury Equestrian Center,WbEc,86.74285714,123.514811,79.80478942,83.57644361,224049.5089,57.56626506,44.33713059,38.94284468,49.65290807,61.81205259,60.57880044,61.11633697,0.004622751,0.006980803,0,0,0,0,8099.977781,7249.012951,67709.27277,11.76258874,11.92321117,8.60412758,5.357142857,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,